!	4.367871002895075	93/7858	222/79179	0.0118	0.0028
my	2.8958153729684666	193/7858	1025/79179	0.0246	0.0129
and	1.83859622385712	233/7858	1631/79179	0.0297	0.0206
i	1.7820516827247121	135/7858	850/79179	0.0172	0.0107
all	1.735519941000931	51/7858	241/79179	0.0065	0.003
for	1.5862545617972452	98/7858	603/79179	0.0125	0.0076
this	1.22290276655426	50/7858	295/79179	0.0064	0.0037
,	1.133068800652701	303/7858	2516/79179	0.0386	0.0318
love	1.0914433047174505	23/7858	114/79179	0.0029	0.0014
on	0.9410532877065199	55/7858	375/79179	0.007	0.0047
our	0.8903764527084215	74/7858	543/79179	0.0094	0.0069
that's	0.8678316990191137	16/7858	82/79179	0.002	0.001
so	0.7918631360033757	44/7858	307/79179	0.0056	0.0039
good	0.7614084934890224	15/7858	82/79179	0.0019	0.001
time	0.653876933075333	14/7858	82/79179	0.0018	0.001
-	0.5973382336002174	14/7858	86/79179	0.0018	0.0011
have	0.5225673477187814	60/7858	492/79179	0.0076	0.0062
being	0.49782069467223783	17/7858	118/79179	0.0022	0.0015
,_but	0.3530215116514987	36/7858	303/79179	0.0046	0.0038
we	0.27351603517037226	37/7858	325/79179	0.0047	0.0041
to	0.22801988795225545	157/7858	1498/79179	0.02	0.0189
really	0.22430972437082775	17/7858	145/79179	0.0022	0.0018
with	0.20442502413615699	54/7858	500/79179	0.0069	0.0063
)	0.20030505116692982	15/7858	129/79179	0.0019	0.0016
.	0.1678385610254896	506/7858	4991/79179	0.0644	0.063
your	0.1030936866577693	127/7858	1245/79179	0.0162	0.0157
me	0.08714200331639192	30/7858	288/79179	0.0038	0.0036
but	0.05698230389200772	43/7858	422/79179	0.0055	0.0053
an	0.034393532560840843	17/7858	167/79179	0.0022	0.0021
also	0.02734138740078368	13/7858	128/79179	0.0017	0.0016
one	-0.014185217952581536	9/7858	92/79179	0.0011	0.0012
say	-0.018049060940567522	13/7858	133/79179	0.0017	0.0017
of	-0.025119025198316755	72/7858	732/79179	0.0092	0.0092
way	-0.0625792354547499	10/7858	107/79179	0.0013	0.0014
up	-0.06843303019702274	11/7858	118/79179	0.0014	0.0015
no	-0.12357745542081176	8/7858	92/79179	0.001	0.0012
said	-0.13376111151684172	8/7858	93/79179	0.001	0.0012
here	-0.15637431739084576	10/7858	117/79179	0.0013	0.0015
how	-0.17133992676717483	14/7858	162/79179	0.0018	0.002
i'm	-0.2047876156143008	17/7858	199/79179	0.0022	0.0025
do	-0.21943644847380045	18/7858	212/79179	0.0023	0.0027
about	-0.22884084551829179	21/7858	246/79179	0.0027	0.0031
i_think	-0.23163055856312095	15/7858	181/79179	0.0019	0.0023
you_are	-0.2322249491715894	17/7858	203/79179	0.0022	0.0026
it	-0.24872832218478005	62/7858	687/79179	0.0079	0.0087
now	-0.25920694630468344	6/7858	83/79179	0.0008	0.001
has	-0.25920694630468344	6/7858	83/79179	0.0008	0.001
be	-0.2801041804206143	9/7858	120/79179	0.0011	0.0015
her	-0.2985752227869747	6/7858	87/79179	0.0008	0.0011
from	-0.30883216964031485	12/7858	158/79179	0.0015	0.002
people	-0.35321436210117035	8/7858	117/79179	0.001	0.0015
by	-0.35321436210117035	8/7858	117/79179	0.001	0.0015
'	-0.36192588239177353	9/7858	130/79179	0.0011	0.0016
some	-0.3854177729942975	9/7858	133/79179	0.0011	0.0017
don't	-0.4042194577124271	7/7858	111/79179	0.0009	0.0014
something	-0.4141257150846803	5/7858	87/79179	0.0006	0.0011
only	-0.4166866967571103	6/7858	100/79179	0.0008	0.0013
go	-0.4231445231512534	5/7858	88/79179	0.0006	0.0011
than	-0.4231445231512534	5/7858	88/79179	0.0006	0.0011
it's	-0.4403571402912235	16/7858	224/79179	0.002	0.0028
any	-0.44093169399384285	5/7858	90/79179	0.0006	0.0011
if	-0.4433154295851439	13/7858	189/79179	0.0017	0.0024
you're	-0.4461696318288068	19/7858	260/79179	0.0024	0.0033
/	-0.4924190640029634	5/7858	96/79179	0.0006	0.0012
more	-0.5370011952922085	8/7858	141/79179	0.001	0.0018
because	-0.5530879114063603	12/7858	194/79179	0.0015	0.0025
we're	-0.572284711681603	4/7858	92/79179	0.0005	0.0012
out	-0.5803447027617623	4/7858	93/79179	0.0005	0.0012
